ClassIdx,ClassName,Mean,Std,Threshold
0,Araneae,11.7875596503633,3.3241342750660867,3.48
1,Coleoptera,10.94958812554796,3.6062600609387205,1.93
2,Diptera Brachycera,14.775752835658786,4.045175782018676,4.66
3,Diptera Nematocera,13.105695607650002,3.628391225468399,4.03
4,Diptera Tipulidae,11.38706275925252,2.9286543472139126,4.07
5,Diptera Trichocera,9.899161092358357,2.458720074442698,3.75
6,Ephemeroptera,16.78287640401828,4.5788356645332735,5.34
7,Hemiptera,13.153932869148324,4.341708625130577,2.3
8,Hymenoptera Other,10.214017921836007,2.2082222268425586,4.69
9,Hymenoptera Vespidae,14.933877671652652,3.38927570453276,6.46
10,Lepidoptera Macros,16.366512351383626,4.9797994547279,3.92
11,Lepidoptera Micros,15.560796389155461,3.95720426868875,5.67
12,Neuroptera,23.16080506659732,6.148344142783622,7.79
13,Opiliones,23.714022726683414,8.851021058125385,1.59
14,Trichoptera,14.764460678036148,3.9742382602704014,4.83
15,Vegetation,21.14053592681885,8.3742917294162,0.2
